wave21	wave20
-210	1448.6711
-210	1448.7105
-63.023	1448.75
-210	1448.7895
-62.514	1448.8289
-74.601	1448.8684
-57.333	1448.9079
-52.141	1448.9474
-50.958	1448.9868
-51.48	1449.0263
-51.648	1449.0658
-52.166	1449.1053
-56.721	1449.1447
-60.222	1449.1842
-67.601	1449.2237
-210	1449.2632
-64.482	1449.3026
-210	1449.3421
-210	1449.3816
-70.46599999999999	1449.4211
-210	1449.4605
-64.739	1449.5
-71.36499999999999	1449.5395
-210	1449.5789
-55.6	1449.6184
-52.016	1449.6579
-51.541	1449.6974
-51.381	1449.7368
-51.424	1449.7763
-54.958	1449.8158
-58.546	1449.8553
-60.332	1449.8947
-62.633	1449.9342
-210	1449.9737
-63.142	1450.0132
-210	1450.0526
-67.417	1450.0921
-210	1450.1316
-64.755	1450.1711
-62.971	1450.2105
-67.113	1450.25
-61.224	1450.2895
-52.109	1450.3289
-50.84	1450.3684
-50.645	1450.4079
-51.519	1450.4474
-51.995	1450.4868
-56.823	1450.5263
-58.262	1450.5658
-62.65	1450.6053
-60.303	1450.6447
-61.72	1450.6842
-210	1450.7237
-210	1450.7632
-210	1450.8026
-210	1450.8421
-210	1450.8816
-210	1450.9211
-60.037	1450.9605
-61.18	1451
-52.875	1451.0395
-50.759	1451.0789
-50.938	1451.1184
-50.255	1451.1579
-50.881	1451.1974
-52.795	1451.2368
-57.804	1451.2763
-210	1451.3158
-210	1451.3553
-210	1451.3947
-65.33	1451.4342
-71.931	1451.4737
-210	1451.5132
-60.654	1451.5526
-62.067	1451.5921
-63.261	1451.6316
-62.91	1451.6711
-63.955	1451.7105
-51.917	1451.75
-50.606	1451.7895
-50.393	1451.8289
-50.79	1451.8684
-51.646	1451.9079
-54.692	1451.9474
-59.182	1451.9868
-61.386	1452.0263
-60.356	1452.0658
-210	1452.1053
-210	1452.1447
-61.194	1452.1842
-210	1452.2237
-210	1452.2632
-61.87	1452.3026
-66.92400000000001	1452.3421
-72.67400000000001	1452.3816
-54.852	1452.4211
-49.768	1452.4605
-49.223	1452.5
-49.321	1452.5395
-49.538	1452.5789
-50.253	1452.6184
-52.936	1452.6579
-60.716	1452.6974
-62.009	1452.7368
-57.666	1452.7763
-58.781	1452.8158
-57.874	1452.8553
-58.203	1452.8947
-210	1452.9342
-76.161	1452.9737
-70.285	1453.0132
-210	1453.0526
-60.06	1453.0921
-56.429	1453.1316
-49.466	1453.1711
-47.978	1453.2105
-48.013	1453.25
-47.967	1453.2895
-48.981	1453.3289
-51.408	1453.3684
-60.621	1453.4079
-59.089	1453.4474
-62.842	1453.4868
-60.672	1453.5263
-62.299	1453.5658
-73.56699999999999	1453.6053
-60.775	1453.6447
-59.852	1453.6842
-60.525	1453.7237
-61.626	1453.7632
-54.799	1453.8026
-49.362	1453.8421
-43.688	1453.8816
-42.709	1453.9211
-42.545	1453.9605
-42.842	1454
-43.955	1454.0395
-47.288	1454.0789
-53.329	1454.1184
-58.389	1454.1579
-59.274	1454.1974
-61.386	1454.2368
-74.681	1454.2763
-62.092	1454.3158
-71.959	1454.3553
-210	1454.3947
-210	1454.4342
-71.333	1454.4737
-58.996	1454.5132
-54.82	1454.5526
-48.593	1454.5921
-47.292	1454.6316
-47.007	1454.6711
